id,barrio,latitude,longitude,room_type,property_type,accommodates,bedrooms,beds,price_clean,minimum_nights,number_of_reviews,review_scores_rating,review_scores_location,review_scores_value,estimated_occupancy_l365d,ocupacion_pct_365d,n_amenities,poi_gastronomia_900m,poi_transporte_900m,poi_total_900m,instant_bookable,host_is_superhost,tiene_wifi,tiene_pileta,tiene_aire_acondicionado,tiene_cochera,tiene_cocina,tiene_ascensor,tiene_gimnasio,acepta_mascotas
638468235371359346,Recoleta,-34.5916951125416,-58.41227824432982,Entire home/apt,Entire vacation home,2,1.0,1.0,72242.87,1.0,59,4.93,4.92,4.9,72,19.726027397260275,42,,,,,t,True,False,False,True,True,True,False,True
42429574,Recoleta,-34.59605,-58.40044,Entire home/apt,Entire condo,3,1.0,2.0,263499.0,5.0,77,4.78,4.95,4.75,10,2.73972602739726,46,,,,,f,True,False,False,True,True,False,False,False
729823761751293215,Recoleta,-34.58903,-58.38546,Entire home/apt,Entire condo,4,2.0,3.0,411520.75,4.0,32,4.78,4.97,4.69,0,0.0,48,,,,,f,True,False,False,True,True,True,False,False
1186143989520431488,Recoleta,-34.595439,-58.39010999999999,Entire home/apt,Entire rental unit,5,3.0,4.0,125693.6,5.0,11,4.82,4.91,4.55,60,16.43835616438356,26,,,,,f,True,False,True,False,True,False,False,False
1060122617970202705,Recoleta,-34.58347119989178,-58.404579615247016,Entire home/apt,Entire rental unit,2,1.0,,101605.0,2.0,2,4.5,5.0,4.5,0,0.0,12,,,,,f,True,False,True,False,True,True,True,True
47261478,Recoleta,-34.59278,-58.39725,Entire home/apt,Entire rental unit,2,1.0,1.0,108737.0,1.0,72,4.85,4.93,4.81,90,24.65753424657534,37,,,,,t,True,False,True,True,True,True,False,False
53573660,Recoleta,-34.59256,-58.39886,Entire home/apt,Entire rental unit,4,2.0,3.0,220333.24,1.0,71,4.86,4.92,4.77,90,24.65753424657534,43,,,,,t,True,False,True,True,True,True,False,False
1196532844903803212,Recoleta,-34.5908681,-58.3973416,Entire home/apt,Entire rental unit,4,2.0,3.0,250784.64,1.0,28,4.89,5.0,4.79,114,31.232876712328768,44,,,,,t,True,False,True,True,True,True,False,False
628303535801089175,Recoleta,-34.59196,-58.39846,Entire home/apt,Entire rental unit,2,1.0,1.0,107247.14,1.0,102,4.84,4.99,4.82,246,67.3972602739726,42,,,,,t,True,False,True,True,True,True,False,False
624668836790322814,Recoleta,-34.59181,-58.39764,Entire home/apt,Entire rental unit,2,1.0,1.0,95330.8,1.0,83,4.93,4.96,4.83,180,49.31506849315068,41,,,,,t,True,False,True,True,True,True,False,False
576510551675842694,Recoleta,-34.59154,-58.39927,Entire home/apt,Entire rental unit,2,1.0,1.0,102033.52,1.0,101,4.82,4.96,4.83,240,65.75342465753424,17,,,,,t,True,False,True,False,True,False,False,False
598396109341568637,Recoleta,-34.58999,-58.39797,Entire home/apt,Entire rental unit,2,1.0,1.0,95330.8,1.0,89,4.94,4.94,4.87,186,50.95890410958904,44,,,,,t,True,False,True,True,True,True,False,False
597925702102157327,Recoleta,-34.59203,-58.39787,Entire home/apt,Entire rental unit,2,1.0,1.0,106844.0,1.0,36,4.81,4.94,4.78,36,9.863013698630137,18,,,,,t,True,False,True,False,True,False,False,False
627308476279305398,Recoleta,-34.59045,-58.39644,Entire home/apt,Entire rental unit,2,1.0,1.0,106844.0,1.0,46,4.87,4.91,4.87,78,21.36986301369863,40,,,,,t,True,False,True,True,True,True,False,False
608756383976943097,Recoleta,-34.58991,-58.39813,Entire home/apt,Entire rental unit,2,1.0,1.0,107248.0,1.0,47,4.85,4.94,4.83,54,14.794520547945206,40,,,,,t,True,False,True,True,True,True,False,False
1553801464377480651,Recoleta,-34.59119,-58.39879,Entire home/apt,Entire rental unit,2,1.0,1.0,96821.0,1.0,76,4.91,4.93,4.89,255,69.86301369863014,41,,,,,t,True,False,True,True,True,True,False,False
618847999815495037,Recoleta,-34.58991,-58.39789,Entire home/apt,Entire rental unit,2,1.0,1.0,95330.8,1.0,77,4.9,4.97,4.91,132,36.16438356164384,42,,,,,t,True,False,True,True,True,True,False,False
53184043,Recoleta,-34.59303,-58.39737,Entire home/apt,Entire rental unit,4,2.0,3.0,221106.0,1.0,95,4.74,4.85,4.66,84,23.013698630136986,45,,,,,t,True,False,True,True,True,True,False,False
47864668,Recoleta,-34.59228,-58.39733,Entire home/apt,Entire rental unit,2,1.0,1.0,104268.06,1.0,83,4.87,4.98,4.78,114,31.232876712328768,43,,,,,t,True,False,True,True,True,True,False,False
54063700,Recoleta,-34.59131,-58.39897,Entire home/apt,Entire vacation home,2,1.0,1.0,108736.69,1.0,77,4.84,4.94,4.83,96,26.301369863013697,41,,,,,t,True,False,True,True,True,True,False,False
46741799,Recoleta,-34.59254,-58.39934,Entire home/apt,Entire rental unit,4,2.0,3.0,226249.0,1.0,67,4.81,4.94,4.76,108,29.589041095890412,19,,,,,t,True,False,True,False,True,False,False,False
596844623701897330,Recoleta,-34.59195,-58.39614,Entire home/apt,Entire rental unit,2,1.0,1.0,106843.15,1.0,159,4.84,4.93,4.75,255,69.86301369863014,28,,,,,t,True,False,True,False,True,False,False,False
43095447,Recoleta,-34.59123,-58.39733,Entire home/apt,Entire rental unit,2,1.0,1.0,103876.0,1.0,54,4.91,4.96,4.83,150,41.0958904109589,42,,,,,t,True,False,True,True,True,True,False,False
562815765200588476,Recoleta,-34.59327,-58.39955,Entire home/apt,Entire rental unit,4,2.0,3.0,196619.78,1.0,64,4.8,4.98,4.78,150,41.0958904109589,44,,,,,t,True,False,True,True,True,True,False,False
620249692384108871,Recoleta,-34.58989,-58.39792,Entire home/apt,Entire rental unit,2,1.0,1.0,94971.69,1.0,89,4.88,4.9,4.81,144,39.45205479452055,38,,,,,t,True,False,True,False,True,True,False,False
1411569517003403325,Recoleta,-34.59028,-58.39823,Entire home/apt,Entire rental unit,2,1.0,1.0,119163.5,1.0,22,4.55,4.86,4.23,102,27.945205479452056,34,,,,,t,True,False,True,False,True,False,False,False
21152516,Retiro,-34.59716,-58.37387,Entire home/apt,Entire rental unit,2,1.0,1.0,97530.0,5.0,107,4.83,4.86,4.74,140,38.35616438356164,45,303.0,220.0,523.0,,t,True,False,False,True,True,True,False,False
745831609925132623,Recoleta,-34.59189,-58.40436,Private room,Private room in villa,3,,2.0,70980.0,1.0,32,4.75,4.91,4.59,36,9.863013698630137,43,,,,,t,True,False,True,False,True,False,False,True
771254798267860469,Recoleta,-34.59214,-58.40431,Private room,Private room in villa,2,,1.0,54443.0,1.0,71,4.87,4.9,4.83,54,14.794520547945206,41,,,,,t,True,False,True,False,True,False,False,True
42257126,Recoleta,-34.59366,-58.40559,Entire home/apt,Entire loft,3,,4.0,156568.5,2.0,21,4.76,4.81,4.76,18,4.931506849315069,35,,,,,f,True,False,True,True,True,True,False,False
1385644313637937026,Recoleta,-34.5859497,-58.40726859999999,Entire home/apt,Entire rental unit,2,1.0,1.0,142788.0,1.0,28,4.71,4.89,4.54,138,37.80821917808219,44,,,,,t,True,False,True,True,True,True,False,True
16440955,Recoleta,-34.58637,-58.39799,Private room,Private room in rental unit,1,,1.0,55439.5,1.0,26,4.54,4.81,4.46,0,0.0,34,,,,,f,True,False,False,False,True,True,False,False
809391139190352682,Recoleta,-34.58906892255267,-58.39980527758599,Entire home/apt,Entire rental unit,5,2.0,4.0,232844.0,2.0,34,4.44,4.76,4.53,0,0.0,55,,,,,f,True,False,False,True,True,True,False,False
